  0%|                                                                                                                                                                                                                                                                     | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(0.6090, device='cuda:0') 115.5 118.3125
tensor(0.6098, device='cuda:0') 115.4375 118.3125
tensor(0.6118, device='cuda:0') 115.4375 118.25
tensor(0.6247, device='cuda:0') 115.375 118.25
tensor(0.6227, device='cuda:0') 115.3125 118.125
tensor(0.6071, device='cuda:0') 115.25 118.0625
tensor(0.5912, device='cuda:0') 115.1875 118.0
tensor(0.5691, device='cuda:0') 115.0625 117.875
tensor(0.5857, device='cuda:0') 115.0 117.8125
tensor(0.6513, device='cuda:0') 114.875 117.6875
tensor(0.6319, device='cuda:0') 114.8125 117.5625
tensor(0.6121, device='cuda:0') 114.6875 117.4375
tensor(0.5967, device='cuda:0') 114.625 117.375
tensor(0.5809, device='cuda:0') 114.5625 117.25
tensor(0.5607, device='cuda:0') 114.4375 117.1875
tensor(0.5317, device='cuda:0') 114.375 117.0625
tensor(0.5018, device='cuda:0') 114.25 117.0

 22%|███████████████████████████████████████████████████████▍                                                                                                                                                                                                    | 22/100 [02:33<09:04,  6.98s/it]
tensor(0.4123, device='cuda:0') 114.125 116.8125
tensor(0.3407, device='cuda:0') 114.0625 116.6875
tensor(0.6372, device='cuda:0') 109.875 110.8125
tensor(0.6381, device='cuda:0') 109.875 110.75
tensor(0.6367, device='cuda:0') 109.875 110.75
tensor(0.6320, device='cuda:0') 109.875 110.75
tensor(0.6279, device='cuda:0') 109.9375 110.75
tensor(0.6381, device='cuda:0') 109.9375 110.75
tensor(0.6474, device='cuda:0') 109.9375 110.75
tensor(0.6503, device='cuda:0') 109.9375 110.6875
tensor(0.6486, device='cuda:0') 109.9375 110.6875
tensor(0.6445, device='cuda:0') 110.0 110.6875
tensor(0.6425, device='cuda:0') 110.0 110.6875
tensor(0.6373, device='cuda:0') 110.0 110.6875
tensor(0.6318, device='cuda:0') 110.0625 110.6875
tensor(0.6186, device='cuda:0') 110.0625 110.625
tensor(0.5979, device='cuda:0') 110.125 110.625
tensor(0.5669, device='cuda:0') 110.125 110.5625
tensor(0.5261, device='cuda:0') 110.1875 110.5625
tensor(0.4776, device='cuda:0') 110.25 110.5625
tensor(0.4056, device='cuda:0') 110.25 110.5625

 23%|█████████████████████████████████████████████████████████▉                                                                                                                                                                                                  | 23/100 [02:40<08:57,  6.98s/it]
tensor(0.7288, device='cuda:0') 111.0625 114.25
tensor(0.7285, device='cuda:0') 111.0 114.25
tensor(0.7293, device='cuda:0') 110.9375 114.1875
tensor(0.7286, device='cuda:0') 110.875 114.125
tensor(0.7257, device='cuda:0') 110.8125 114.0
