  0%|                                                                                                                                                                                                                                                                     | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(0.2875, device='cuda:0') 137.0 130.25
tensor(0.2629, device='cuda:0') 137.125 130.25
tensor(0.2432, device='cuda:0') 137.25 130.25
tensor(0.2421, device='cuda:0') 137.375 130.375
tensor(0.2485, device='cuda:0') 137.5 130.375
tensor(0.2500, device='cuda:0') 137.625 130.5
tensor(0.5006, device='cuda:0') 137.75 130.5
tensor(0.5142, device='cuda:0') 137.875 130.5
tensor(0.5083, device='cuda:0') 138.0 130.5
tensor(0.5074, device='cuda:0') 138.125 130.5
tensor(0.5033, device='cuda:0') 138.25 130.5
tensor(0.4938, device='cuda:0') 138.375 130.5
tensor(0.4561, device='cuda:0') 138.5 130.5
tensor(0.4361, device='cuda:0') 138.625 130.5
tensor(0.4489, device='cuda:0') 138.75 130.5
tensor(0.4830, device='cuda:0') 139.0 130.5
tensor(0.5135, device='cuda:0') 139.125 130.5
tensor(0.5209, device='cuda:0') 139.25 130.375
tensor(0.4927, device='cuda:0') 139.5 130.375
tensor(0.4998, device='cuda:0') 139.625 130.25
tensor(0.4893, device='cuda:0') 139.875 130.25
tensor(0.4791, device='cuda:0') 140.0 130.125
tensor(0.4640, device='cuda:0') 140.25 130.125
tensor(0.4571, device='cuda:0') 140.5 130.0
tensor(0.4621, device='cuda:0') 140.75 129.875
tensor(0.4629, device='cuda:0') 141.0 129.75
tensor(0.4657, device='cuda:0') 141.25 129.75
tensor(0.4698, device='cuda:0') 141.5 129.75
tensor(0.4698, device='cuda:0') 141.75 129.75
tensor(0.4560, device='cuda:0') 141.875 129.75
tensor(0.4567, device='cuda:0') 142.125 129.75
tensor(0.4513, device='cuda:0') 142.375 129.75
tensor(0.3971, device='cuda:0') 142.625 129.75
tensor(0.4101, device='cuda:0') 142.75 129.75
tensor(0.4178, device='cuda:0') 143.0 129.625
tensor(0.4079, device='cuda:0') 143.25 129.75
tensor(0.3878, device='cuda:0') 143.375 129.75
tensor(0.3799, device='cuda:0') 143.625 129.875
tensor(0.3701, device='cuda:0') 143.875 129.875
tensor(0.3735, device='cuda:0') 144.0 129.875
tensor(0.3574, device='cuda:0') 144.25 130.125
tensor(0.3544, device='cuda:0') 144.375 130.125
tensor(0.3355, device='cuda:0') 144.625 130.25
tensor(0.2951, device='cuda:0') 144.75 130.375
tensor(0.2806, device='cuda:0') 144.875 130.5
tensor(0.2800, device='cuda:0') 145.125 130.625
tensor(0.2728, device='cuda:0') 145.25 130.75
  5%|████████████▋                                                                                                                                                                                                                                                | 5/100 [02:33<48:41, 30.75s/it]Token indices sequence length is longer than the specified maximum sequence length for this model (93 > 77). Running this sequence through the model will result in indexing errors
