
  0%|                                                                                                                                                                                                                                                                                      | 0/100 [00:00<?, ?it/s]
 29%|██████████████████████████████████████████████████████████████████████████████                                                                                                                                                                                               | 29/100 [15:59<39:13, 33.15s/it]
tuning, 0, 0.0024001863785088062
tuning, 1, 0.0018870667554438114
tuning, 2, 0.001653130049817264
tuning, 3, 0.0016025620279833674
tuning, 4, 0.001615762710571289
tuning, 5, 0.0015588263049721718
tuning, 6, 0.001445113099180162
tuning, 7, 0.0013407248770818114
tuning, 8, 0.001277379458770156
tuning, 9, 0.0012489648070186377
tuning, 10, 0.001237502321600914
tuning, 11, 0.0012274797772988677
tuning, 12, 0.001207968918606639
tuning, 13, 0.0011699595488607883
tuning, 14, 0.0011175399413332343
tuning, 15, 0.0010642402339726686
tuning, 16, 0.0010274187661707401
tuning, 17, 0.0010091578587889671
tuning, 18, 0.000999456737190485
 30%|████████████████████████████████████████████████████████████████████████████████▋                                                                                                                                                                                            | 30/100 [16:33<38:41, 33.16s/it]The following part of your input was truncated because CLIP can only handle sequences up to 77 tokens: [', tom bagshaw, lawrence alma - tadema, greg rutkowski, alphonse mucha']
The following part of your input was truncated because CLIP can only handle sequences up to 77 tokens: [', tom bagshaw, lawrence alma - tadema, greg rutkowski, alphonse mucha']
The following part of your input was truncated because CLIP can only handle sequences up to 77 tokens: [', tom bagshaw, lawrence alma - tadema, greg rutkowski, alphonse mucha']
tuning, 0, 0.008065364323556423
tuning, 1, 0.006661941297352314
tuning, 2, 0.00655093789100647
tuning, 3, 0.006001622881740332
tuning, 4, 0.005877227988094091
tuning, 5, 0.005714378319680691
tuning, 6, 0.005413719452917576
tuning, 7, 0.005248826928436756
tuning, 8, 0.005195019766688347
tuning, 9, 0.0051178885623812675
tuning, 10, 0.005026204511523247
tuning, 11, 0.004848946817219257
tuning, 12, 0.004637936130166054
tuning, 13, 0.004568368196487427
tuning, 14, 0.004592615179717541
tuning, 15, 0.004572215490043163
tuning, 16, 0.004461541771888733
tuning, 17, 0.004299958702176809
