  0%|                                                                                                                                                                                                                                                                     | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(-0.2624, device='cuda:0') 115.1875 117.25
tensor(-0.2212, device='cuda:0') 115.1875 117.25
tensor(-0.1872, device='cuda:0') 115.1875 117.25
tensor(-0.1029, device='cuda:0') 115.1875 117.25
tensor(-0.0465, device='cuda:0') 115.1875 117.25
tensor(0.0076, device='cuda:0') 115.1875 117.25
tensor(0.1063, device='cuda:0') 115.1875 117.25
tensor(0.1183, device='cuda:0') 115.1875 117.25
tensor(0.1846, device='cuda:0') 115.1875 117.25
tensor(0.2201, device='cuda:0') 115.1875 117.25
tensor(0.2260, device='cuda:0') 115.1875 117.25
tensor(0.1716, device='cuda:0') 115.1875 117.25
tensor(0.1368, device='cuda:0') 115.1875 117.25
tensor(0.0495, device='cuda:0') 115.1875 117.25
tensor(-0.0899, device='cuda:0') 115.1875 117.25
tensor(-0.1700, device='cuda:0') 115.1875 117.25
tensor(-0.1971, device='cuda:0') 115.1875 117.25
tensor(-0.2126, device='cuda:0') 115.1875 117.25
tensor(-0.2156, device='cuda:0') 115.1875 117.25
tensor(-0.2222, device='cuda:0') 115.1875 117.25
tensor(-0.2079, device='cuda:0') 115.25 117.25
tensor(-0.1598, device='cuda:0') 115.25 117.25
tensor(-0.0389, device='cuda:0') 115.25 117.25
tensor(0.0882, device='cuda:0') 115.25 117.25
tensor(0.1651, device='cuda:0') 115.25 117.25
tensor(0.3000, device='cuda:0') 115.25 117.25
tensor(0.3383, device='cuda:0') 115.25 117.25
tensor(0.3956, device='cuda:0') 115.25 117.25
tensor(0.4572, device='cuda:0') 115.25 117.25
tensor(0.5154, device='cuda:0') 115.25 117.25
tensor(0.5538, device='cuda:0') 115.25 117.25
tensor(0.6035, device='cuda:0') 115.25 117.25
tensor(0.6248, device='cuda:0') 115.25 117.25
tensor(0.6297, device='cuda:0') 115.25 117.25
tensor(0.6222, device='cuda:0') 115.3125 117.25
tensor(0.6138, device='cuda:0') 115.3125 117.25
tensor(0.5917, device='cuda:0') 115.3125 117.25
tensor(0.5377, device='cuda:0') 115.3125 117.25
tensor(0.5338, device='cuda:0') 115.3125 117.25
tensor(0.5739, device='cuda:0') 115.3125 117.25
tensor(0.6289, device='cuda:0') 115.3125 117.25
tensor(0.6329, device='cuda:0') 115.3125 117.25
tensor(0.5610, device='cuda:0') 115.375 117.1875
tensor(0.4985, device='cuda:0') 115.375 117.1875
tensor(0.4653, device='cuda:0') 115.375 117.1875
tensor(0.3760, device='cuda:0') 115.375 117.1875
tensor(0.2305, device='cuda:0') 115.4375 117.1875
  1%|██▌                                                                                                                                                                                                                                                       | 1/100 [02:01<3:20:30, 121.52s/it]
tensor(0.1137, device='cuda:0') 115.4375 117.25
tensor(0.0724, device='cuda:0') 115.4375 117.1875
tensor(0.0636, device='cuda:0') 115.4375 117.1875
tensor(0.0731, device='cuda:0') 115.4375 117.25
tensor(0.1021, device='cuda:0') 115.4375 117.25
tensor(0.2038, device='cuda:0') 115.4375 117.25
tensor(0.3067, device='cuda:0') 115.4375 117.25
tensor(0.2608, device='cuda:0') 115.4375 117.25
tensor(0.1846, device='cuda:0') 115.4375 117.25
tensor(0.7591, device='cuda:0') 116.3125 119.5625
tensor(0.7590, device='cuda:0') 116.3125 119.5625
tensor(0.7587, device='cuda:0') 116.3125 119.5625
tensor(0.7582, device='cuda:0') 116.25 119.5
tensor(0.7584, device='cuda:0') 116.1875 119.5
tensor(0.7604, device='cuda:0') 116.125 119.4375
tensor(0.7608, device='cuda:0') 116.0625 119.375
tensor(0.7621, device='cuda:0') 115.9375 119.3125
tensor(0.7674, device='cuda:0') 115.875 119.1875
tensor(0.7703, device='cuda:0') 115.75 119.125
tensor(0.7718, device='cuda:0') 115.6875 119.0625
tensor(0.7705, device='cuda:0') 115.5625 119.0
tensor(0.7699, device='cuda:0') 115.4375 118.875
tensor(0.7667, device='cuda:0') 115.375 118.8125
tensor(0.7608, device='cuda:0') 115.25 118.75
tensor(0.7568, device='cuda:0') 115.1875 118.6875
tensor(0.7552, device='cuda:0') 115.0625 118.5625
tensor(0.7567, device='cuda:0') 115.0 118.5
tensor(0.7780, device='cuda:0') 114.875 118.4375
tensor(0.7904, device='cuda:0') 114.8125 118.3125
tensor(0.7824, device='cuda:0') 114.6875 118.25
tensor(0.7702, device='cuda:0') 114.625 118.1875
tensor(0.7630, device='cuda:0') 114.5625 118.125
tensor(0.7549, device='cuda:0') 114.4375 118.0
tensor(0.7560, device='cuda:0') 114.375 117.9375
tensor(0.7625, device='cuda:0') 114.25 117.875
tensor(0.7949, device='cuda:0') 114.1875 117.8125
tensor(0.7834, device='cuda:0') 114.0625 117.6875
tensor(0.7694, device='cuda:0') 114.0 117.625
tensor(0.7623, device='cuda:0') 113.875 117.5625
tensor(0.7520, device='cuda:0') 113.8125 117.5
tensor(0.7326, device='cuda:0') 113.6875 117.4375
tensor(0.7333, device='cuda:0') 113.5625 117.375
tensor(0.7073, device='cuda:0') 113.5 117.3125
tensor(0.6927, device='cuda:0') 113.375 117.25
tensor(0.7018, device='cuda:0') 113.3125 117.1875
tensor(0.6723, device='cuda:0') 113.1875 117.125
tensor(0.6510, device='cuda:0') 113.125 117.125
tensor(0.6750, device='cuda:0') 113.0 117.0625
tensor(0.6679, device='cuda:0') 112.9375 117.0
tensor(0.6492, device='cuda:0') 112.8125 116.9375
tensor(0.6301, device='cuda:0') 112.75 116.875
tensor(0.6129, device='cuda:0') 112.625 116.8125
tensor(0.5947, device='cuda:0') 112.5625 116.8125
tensor(0.5742, device='cuda:0') 112.5 116.75
tensor(0.5546, device='cuda:0') 112.375 116.75
tensor(0.5235, device='cuda:0') 112.3125 116.6875
tensor(0.5180, device='cuda:0') 112.25 116.625
tensor(0.5162, device='cuda:0') 112.1875 116.625
tensor(0.5208, device='cuda:0') 112.125 116.5625
tensor(0.5211, device='cuda:0') 112.0625 116.5625
tensor(0.5156, device='cuda:0') 112.0 116.5
tensor(0.5139, device='cuda:0') 111.9375 116.5
tensor(0.5083, device='cuda:0') 111.875 116.4375
tensor(0.5003, device='cuda:0') 111.8125 116.4375
