
  0%|                                                                                                                                                                                                                                                                                               | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
tensor(2.8513, device='cuda:0') tensor(0.6564, device='cuda:0')
117, NMSE : 0.004703521728515625, lr : 0.05
tensor(2.8213, device='cuda:0') tensor(0.6828, device='cuda:0')
118, NMSE : 0.004673004150390625, lr : 0.05
tensor(2.8384, device='cuda:0') tensor(0.6847, device='cuda:0')
119, NMSE : 0.004650115966796875, lr : 0.05
tensor(2.9022, device='cuda:0') tensor(0.6675, device='cuda:0')
120, NMSE : 0.004627227783203125, lr : 0.05
tensor(2.9529, device='cuda:0') tensor(0.6584, device='cuda:0')
121, NMSE : 0.00461578369140625, lr : 0.05
tensor(2.9456, device='cuda:0') tensor(0.6775, device='cuda:0')
122, NMSE : 0.00461578369140625, lr : 0.05
tensor(2.9728, device='cuda:0') tensor(0.6897, device='cuda:0')
123, NMSE : 0.004619598388671875, lr : 0.05
tensor(2.9711, device='cuda:0') tensor(0.6755, device='cuda:0')
124, NMSE : 0.00463104248046875, lr : 0.05
tensor(2.9292, device='cuda:0') tensor(0.6784, device='cuda:0')
125, NMSE : 0.00464630126953125, lr : 0.05
tensor(2.9114, device='cuda:0') tensor(0.6873, device='cuda:0')
126, NMSE : 0.004650115966796875, lr : 0.05
tensor(2.9097, device='cuda:0') tensor(0.6908, device='cuda:0')
127, NMSE : 0.00464630126953125, lr : 0.05
tensor(2.9713, device='cuda:0') tensor(0.6814, device='cuda:0')
128, NMSE : 0.004634857177734375, lr : 0.05
tensor(3.0040, device='cuda:0') tensor(0.6574, device='cuda:0')
129, NMSE : 0.004619598388671875, lr : 0.05
tensor(3.0391, device='cuda:0') tensor(0.6206, device='cuda:0')
130, NMSE : 0.004604339599609375, lr : 0.05
tensor(2.9855, device='cuda:0') tensor(0.6590, device='cuda:0')
131, NMSE : 0.00458526611328125, lr : 0.05
tensor(2.9869, device='cuda:0') tensor(0.6565, device='cuda:0')
132, NMSE : 0.0045623779296875, lr : 0.05
tensor(3.0068, device='cuda:0') tensor(0.6339, device='cuda:0')
133, NMSE : 0.0045318603515625, lr : 0.05
tensor(2.9904, device='cuda:0') tensor(0.6645, device='cuda:0')
134, NMSE : 0.00449371337890625, lr : 0.05
tensor(2.9975, device='cuda:0') tensor(0.6812, device='cuda:0')
135, NMSE : 0.00446319580078125, lr : 0.05
tensor(3.0124, device='cuda:0') tensor(0.6927, device='cuda:0')
136, NMSE : 0.00443267822265625, lr : 0.05
tensor(3.0755, device='cuda:0') tensor(0.6424, device='cuda:0')
137, NMSE : 0.0044097900390625, lr : 0.05
tensor(3.0437, device='cuda:0') tensor(0.6915, device='cuda:0')
138, NMSE : 0.004405975341796875, lr : 0.05
tensor(3.0813, device='cuda:0') tensor(0.6662, device='cuda:0')
139, NMSE : 0.00441741943359375, lr : 0.05
tensor(3.1087, device='cuda:0') tensor(0.6629, device='cuda:0')
140, NMSE : 0.004436492919921875, lr : 0.05
tensor(3.0464, device='cuda:0') tensor(0.6119, device='cuda:0')
141, NMSE : 0.004467010498046875, lr : 0.05
tensor(3.0118, device='cuda:0') tensor(0.5597, device='cuda:0')
142, NMSE : 0.004497528076171875, lr : 0.05
tensor(3.1625, device='cuda:0') tensor(0.4067, device='cuda:0')
143, NMSE : 0.0045318603515625, lr : 0.05
tensor(3.0724, device='cuda:0') tensor(0.6406, device='cuda:0')
144, NMSE : 0.004543304443359375, lr : 0.05
tensor(3.0002, device='cuda:0') tensor(0.6908, device='cuda:0')
145, NMSE : 0.004547119140625, lr : 0.05
tensor(3.0185, device='cuda:0') tensor(0.7012, device='cuda:0')
146, NMSE : 0.00453948974609375, lr : 0.05
tensor(3.0680, device='cuda:0') tensor(0.7090, device='cuda:0')
147, NMSE : 0.0045318603515625, lr : 0.05
tensor(3.1227, device='cuda:0') tensor(0.6864, device='cuda:0')
148, NMSE : 0.004520416259765625, lr : 0.05
tensor(3.1913, device='cuda:0') tensor(0.6947, device='cuda:0')
149, NMSE : 0.0045318603515625, lr : 0.05
tensor(3.2282, device='cuda:0') tensor(0.6750, device='cuda:0')
150, NMSE : 0.004558563232421875, lr : 0.05
tensor(3.1552, device='cuda:0') tensor(0.6837, device='cuda:0')
151, NMSE : 0.004589080810546875, lr : 0.05
tensor(3.1368, device='cuda:0') tensor(0.6692, device='cuda:0')
152, NMSE : 0.004627227783203125, lr : 0.05
tensor(3.1261, device='cuda:0') tensor(0.6165, device='cuda:0')
153, NMSE : 0.00464630126953125, lr : 0.05
tensor(3.1029, device='cuda:0') tensor(0.6650, device='cuda:0')
154, NMSE : 0.00464630126953125, lr : 0.05
tensor(3.0835, device='cuda:0') tensor(0.6642, device='cuda:0')
155, NMSE : 0.004619598388671875, lr : 0.05
tensor(3.0888, device='cuda:0') tensor(0.6287, device='cuda:0')
156, NMSE : 0.00457000732421875, lr : 0.05
tensor(3.1256, device='cuda:0') tensor(0.6881, device='cuda:0')
157, NMSE : 0.0045166015625, lr : 0.05
tensor(3.2321, device='cuda:0') tensor(0.6402, device='cuda:0')
158, NMSE : 0.00446319580078125, lr : 0.05
